date,start,end,remind
2023-05-22,16,21,
2023-05-23,16,18,
2023-05-24,,,
2023-05-25,,,Ready to enjoy fondue!🫕
2023-05-26,14,21,
2023-05-27,12,21,
2023-05-28,12,21,
2023-05-29,16,21,
2023-05-30,10,18,
2023-05-31,,,
